fold_energy,seed_match_count,seed_match_full,mirna_au_count,mirna_au_frac,count_matches,frac_matches,len_target_reg,longest_pairing,3p_mirna_match_count,seed_3p_diff,positive
-17.60,4,0,8,0.36363636363636365,16,0.7272727272727273,22,8,7,-3,1
-4.60,3,0,11,0.5,10,0.45454545454545453,13,4,0,3,1
-5.20,3,0,10,0.5,7,0.35,10,4,0,3,1
-13.80,5,0,11,0.5,11,0.5,13,5,0,5,1
-17.30,5,0,8,0.4,13,0.65,18,7,5,0,1
-24.70,6,1,6,0.3,15,0.75,20,9,6,0,1
-19.20,5,0,9,0.4090909090909091,15,0.6818181818181818,18,6,6,-1,1
-14.90,2,0,10,0.45454545454545453,9,0.4090909090909091,9,9,0,2,1
-18.80,5,0,6,0.3,12,0.6,15,7,1,4,1
-25.00,3,0,10,0.45454545454545453,17,0.7727272727272727,21,17,6,-3,1
-10.80,3,0,8,0.36363636363636365,9,0.4090909090909091,13,7,1,2,1
-21.60,5,0,9,0.4090909090909091,15,0.6818181818181818,16,5,4,1,1
-14.50,3,0,9,0.4090909090909091,13,0.5909090909090909,20,7,6,-3,1
-22.80,6,1,11,0.55,16,0.8,18,12,4,2,1
-21.40,4,0,8,0.36363636363636365,15,0.6818181818181818,21,7,7,-3,1
-4.70,2,0,12,0.6666666666666666,8,0.4444444444444444,12,4,4,-2,1
-13.20,5,0,13,0.5652173913043478,12,0.5217391304347826,13,9,0,5,1
-24.70,4,0,13,0.5909090909090909,15,0.6818181818181818,17,8,5,-1,1
-7.70,6,1,8,0.34782608695652173,10,0.43478260869565216,12,6,0,6,1
-11.70,3,0,12,0.5454545454545454,9,0.4090909090909091,9,9,0,3,1
-28.20,4,0,8,0.36363636363636365,15,0.6818181818181818,22,12,3,1,1
-4.40,0,0,12,0.5714285714285714,6,0.2857142857142857,6,6,1,-1,1
-7.20,6,1,12,0.5714285714285714,11,0.5238095238095238,17,8,1,5,1
-25.60,5,0,8,0.36363636363636365,16,0.7272727272727273,16,10,4,1,1
-10.40,4,0,12,0.5454545454545454,14,0.6363636363636364,19,5,5,-1,1
-8.50,1,0,12,0.5714285714285714,12,0.5714285714285714,17,5,5,-4,1
-19.20,6,1,12,0.5714285714285714,15,0.7142857142857143,22,8,5,1,1
-7.10,4,0,13,0.65,9,0.45,12,4,3,1,1
-13.90,6,1,6,0.3,8,0.4,8,8,0,6,1
-21.60,2,0,12,0.5217391304347826,17,0.7391304347826086,20,9,7,-5,1
-9.40,4,0,13,0.5909090909090909,13,0.5909090909090909,14,8,5,-1,1
-13.20,6,1,14,0.6363636363636364,8,0.36363636363636365,8,8,0,6,1
-4.80,0,0,11,0.6111111111111112,8,0.4444444444444444,9,5,5,-5,1
-22.80,5,0,6,0.3,13,0.65,16,6,2,3,1
-19.30,2,0,10,0.45454545454545453,10,0.45454545454545453,10,10,0,2,1
-4.20,0,0,13,0.5652173913043478,6,0.2608695652173913,6,6,4,-4,1
-4.60,5,0,12,0.5217391304347826,14,0.6086956521739131,22,7,4,1,1
-15.00,2,0,10,0.43478260869565216,14,0.6086956521739131,18,5,5,-3,1
-5.20,3,0,10,0.5,7,0.35,10,4,0,3,1
-19.30,2,0,10,0.45454545454545453,10,0.45454545454545453,10,10,0,2,1
-10.60,4,0,13,0.5909090909090909,12,0.5454545454545454,15,10,1,3,1
-9.90,4,0,10,0.47619047619047616,12,0.5714285714285714,13,7,6,-2,1
-3.00,0,0,10,0.45454545454545453,3,0.13636363636363635,3,3,0,0,1
-9.40,4,0,12,0.5454545454545454,13,0.5909090909090909,14,8,5,-1,1
-24.00,5,0,9,0.391304347826087,17,0.7391304347826086,19,9,5,0,1
-23.00,6,1,11,0.55,16,0.8,18,12,4,2,1
-18.60,0,0,13,0.5652173913043478,12,0.5217391304347826,12,6,6,-6,1
-26.40,6,1,11,0.5,18,0.8181818181818182,22,16,4,2,1
-22.10,5,0,8,0.36363636363636365,13,0.5909090909090909,15,11,0,5,1
-13.50,4,0,14,0.6363636363636364,11,0.5,14,6,1,3,1
-21.00,2,0,6,0.3,13,0.65,16,7,6,-4,1
-23.90,4,0,13,0.5909090909090909,12,0.5454545454545454,12,12,0,4,1
-8.50,1,0,12,0.5714285714285714,12,0.5714285714285714,17,5,5,-4,1
